Temp,RH,Light,Pressure,UV,WifiAmnt,WifiAvg,WifiMax,BLEAmnt,BleAvg,BleMax,Location
25,49,1973,100,0,192,48.57291667,87,103,-77.30097087,-31,Inside
26,52,1948,100,0,195,48.60512821,87,95,-76.21052632,-32,Inside
26,51,1959,100,0,196,48.30102041,87,103,-78.06796117,-36,Inside
25,51,1962,100,0,195,48.63076923,87,99,-77.11111111,-36,Inside
26,50,1984,100,0,194,48.1443299,89,101,-77.10891089,-35,Inside
26,50,1978,100,0,197,47.83248731,87,98,-77.04081633,-35,Inside
26,51,1975,100,0,198,47.7979798,87,99,-77.26262626,-37,Inside
25,52,1984,100,0,197,47.75126904,87,88,-77.51136364,-39,Inside
25,50,1986,100,0,191,48.12565445,87,94,-77.44680851,-32,Inside
26,50,1996,100,0,193,47.48186528,87,90,-77.54444444,-37,Inside
25,50,2016,100,0,184,48.27173913,87,95,-76.68421053,-36,Inside
26,51,2026,100,0,189,47.93121693,87,88,-77.54545455,-34,Inside
26,51,2028,100,0,192,48.04166667,85,96,-77.92708333,-39,Inside
26,51,2009,100,0,194,47.27319588,85,84,-77.36904762,-39,Inside
26,51,1834,100,0,191,48.36649215,85,88,-77.60227273,-40,Inside
26,49,2030,100,0,194,48.12886598,85,84,-76.94047619,-31,Inside
26,50,2035,100,0,193,48.24870466,85,88,-77.34090909,-31,Inside
26,50,2031,100,0,190,48.59473684,85,85,-76.70588235,-34,Inside
26,50,2003,100,0,197,47.41624365,85,87,-76.34482759,-35,Inside
26,50,2033,100,0,199,47.59296482,84,80,-76.4125,-40,Inside
26,51,2042,100,0,198,47.5959596,84,83,-78.15662651,-40,Inside
26,50,2046,100,0,192,48.06770833,85,88,-78.88636364,-42,Inside
26,50,2049,100,0,193,47.93782383,85,85,-76.24705882,-36,Inside
26,50,2069,100,0,193,47.74093264,85,85,-76.88235294,-35,Inside
26,50,2035,100,0,191,47.60732984,85,79,-78.32911392,-38,Inside
26,51,2053,100,0,192,47.88541667,85,75,-77.01333333,-34,Inside
26,49,2055,100,0,192,47.53645833,85,85,-78.27058824,-36,Inside
26,51,2054,100,0,194,47.36082474,85,75,-77.57333333,-39,Inside
26,49,2072,100,0,193,47.9119171,85,81,-77.58024691,-36,Inside
26,51,2072,100,0,190,48.46315789,85,76,-76.86842105,-32,Inside
26,49,2071,100,0,189,48.20634921,85,73,-76.01369863,-30,Inside
26,50,2077,100,0,193,48.20207254,89,69,-76.05797101,-32,Inside
26,49,2103,100,0,195,48.56410256,89,79,-76.63291139,-35,Inside
26,50,2105,100,0,192,48.92708333,89,82,-77.58536585,-35,Inside
26,50,2086,100,0,192,48.390625,87,80,-77.7375,-33,Inside
26,50,2088,100,0,192,48.25520833,87,74,-76.62162162,-40,Inside
26,50,2091,100,0,197,47.7715736,87,70,-76.51428571,-39,Inside
26,50,2110,100,0,196,47.70918367,89,82,-77.23170732,-41,Inside
26,49,2030,100,0,196,47.92857143,89,76,-76.18421053,-39,Inside
26,51,2141,100,0,189,48.75132275,90,76,-77.07894737,-41,Inside
26,51,2149,100,0,187,49.20855615,90,73,-76.79452055,-40,Inside
26,49,2122,100,0,185,49.46486486,87,72,-75.81944444,-40,Inside
25,50,2119,100,0,190,48.97894737,87,70,-76.51428571,-40,Inside
26,50,2122,100,0,197,48.07614213,87,71,-75.84507042,-42,Inside
26,50,2127,100,0,200,47.48,87,70,-75.04285714,-39,Inside
26,51,2133,100,0,199,47.5678392,89,81,-77.62962963,-41,Inside
26,50,2110,100,0,198,47.68686869,89,82,-76.68292683,-39,Inside
26,49,2126,100,0,200,46.705,87,75,-76.61333333,-39,Inside
26,50,2141,100,0,200,46.96,90,77,-76.45454545,-37,Inside
26,49,2003,100,0,177,48.51412429,99,67,-75.86567164,-36,Inside
26,50,2054,100,0,191,48.42408377,85,66,-75.78787879,-29,Inside
26,49,2042,100,0,192,47.92708333,89,66,-74.92424242,-25,Inside
26,50,2091,100,0,200,46.345,89,66,-78.36363636,-30,Inside
27,48,2095,100,0,200,46.475,87,71,-77.42253521,-43,Inside
27,47,2131,100,0,200,47.93,87,66,-79.21212121,-60,Inside
26,49,2136,100,0,200,47.835,87,69,-79.01449275,-52,Inside
26,50,2144,100,0,194,48.68556701,89,72,-79.01388889,-52,Inside
25,50,2146,100,0,189,49.24867725,89,68,-79.17647059,-54,Inside
26,52,2147,100,0,194,48.89690722,90,68,-78.67647059,-51,Inside
25,52,2150,100,0,200,48.81,87,63,-76.79365079,-50,Inside
25,51,2147,100,0,200,48.62,87,62,-78.91935484,-56,Inside
25,51,2146,100,0,199,48.62311558,89,63,-79.58730159,-57,Inside
25,51,2150,100,0,198,48.8030303,89,54,-77.5,-55,Inside
25,51,2154,100,0,197,48.97969543,89,60,-77.93333333,-58,Inside
25,51,2158,100,0,184,50.06521739,89,57,-77.87719298,-50,Inside
25,51,2161,100,0,188,49.54787234,89,60,-78.6,-57,Inside
25,50,2165,100,0,199,48.95979899,92,55,-78.03636364,-52,Inside
25,50,2168,100,0,199,49.09045226,90,58,-77.89655172,-55,Inside
25,49,2165,100,0,200,48.985,90,57,-78.78947368,-57,Inside
25,50,2168,100,0,200,48.215,90,52,-76.73076923,-55,Inside
25,52,2176,100,0,196,49.15306122,90,57,-77.29824561,-38,Inside
25,53,2184,100,0,194,49.3814433,89,55,-78.67272727,-37,Inside
25,51,2188,100,0,198,48.97979798,89,54,-75.24074074,-40,Inside
25,51,2192,100,0,195,49.27692308,89,55,-77.89090909,-38,Inside
25,51,2195,100,0,200,49.1,90,58,-77.79310345,-37,Inside
25,53,2199,100,0,196,49.35204082,90,52,-77.01923077,-37,Inside
25,51,2187,100,0,197,49.17258883,90,59,-76.76271186,-37,Inside
25,52,2022,100,0,192,49.09895833,89,57,-75.94736842,-40,Inside
25,50,1948,100,0,196,48.96938776,89,57,-77.94736842,-37,Inside
25,51,1939,100,0,200,48.625,89,60,-78.01666667,-40,Inside
25,51,1953,100,0,198,48.73232323,89,64,-77.890625,-40,Inside
25,52,1957,100,0,197,48.98477157,89,61,-78.2295082,-37,Inside
25,51,1944,100,0,192,49.484375,89,58,-77.5,-40,Inside
25,52,1960,100,0,197,49.10152284,89,60,-78.2,-37,Inside
25,50,1958,100,0,190,49.63157895,87,64,-79.109375,-40,Inside
25,51,1939,100,0,184,50.47826087,87,62,-78.72580645,-37,Inside
25,51,1926,100,0,185,49.86486486,89,59,-77.93220339,-38,Inside
25,51,1923,100,0,185,49.68108108,89,53,-76.86792453,-38,Inside
25,50,1908,100,0,182,50.37362637,90,56,-76.66071429,-37,Inside
25,52,1896,100,0,193,49.32124352,87,57,-78.85964912,-37,Inside
25,52,1895,100,0,192,49.33854167,87,63,-78.41269841,-37,Inside
25,51,1912,100,0,192,49.44791667,87,58,-78.9137931,-37,Inside
25,50,1900,100,0,189,49.71428571,87,58,-78.5862069,-39,Inside
25,50,1898,100,0,185,50.06486486,87,59,-78.93220339,-40,Inside
25,51,1904,100,0,180,50.74444444,89,58,-77.24137931,-40,Inside
26,50,1894,100,0,186,49.80107527,87,48,-77.625,-40,Inside
25,49,1880,100,0,185,49.62162162,89,55,-79.03636364,-40,Inside
25,51,1857,100,0,185,49.8972973,90,51,-78.19607843,-38,Inside
25,51,1871,100,0,184,49.92391304,90,52,-76.09615385,-37,Inside
25,50,1857,100,0,187,49.84491979,89,53,-77.75471698,-38,Inside
25,49,1841,100,0,174,50.55747126,89,52,-79.55769231,-37,Inside
25,50,1826,100,0,183,49.71038251,89,52,-79.13461538,-40,Inside
25,51,1784,100,0,187,49.53475936,89,57,-78.64912281,-37,Inside
25,51,1765,100,0,186,49.59139785,89,50,-79.5,-37,Inside
25,49,1780,100,0,188,49.31914894,89,49,-76.83673469,-37,Inside
25,52,1804,100,0,193,49.50259067,87,46,-76.82608696,-37,Inside
26,49,1804,100,0,196,49.17346939,87,51,-78.39215686,-40,Inside
25,50,1794,100,0,200,48.775,87,56,-79.28571429,-38,Inside
25,51,1766,100,0,199,48.89949749,87,54,-79.2962963,-37,Inside
26,52,1745,100,0,124,55.87096774,97,53,-77.35849057,-37,Inside
25,52,1742,100,0,181,49.55801105,89,55,-78.50909091,-37,Inside
25,50,1734,100,0,186,48.98387097,87,54,-79.33333333,-40,Inside
26,51,1720,100,0,194,49.46907216,89,52,-77.88461538,-40,Inside
26,52,1717,100,0,194,49.46907216,89,53,-78.96226415,-37,Inside
25,51,1720,100,0,192,49.140625,89,51,-80.29411765,-40,Inside
25,53,1726,100,0,192,49.44791667,89,50,-77.5,-38,Inside
25,53,1729,100,0,191,49.68062827,89,51,-79.1372549,-38,Inside
25,54,1722,100,0,190,50.06315789,89,52,-78.98076923,-37,Inside
25,53,1725,100,0,193,49.28497409,89,51,-78.52941176,-37,Inside
25,53,1731,100,0,199,49.03517588,89,58,-79.68965517,-40,Inside
25,51,1688,100,0,195,48.65641026,89,51,-78.96078431,-39,Inside
25,51,1710,100,0,197,48.55329949,89,53,-78.30188679,-38,Inside
25,51,1711,100,0,197,48.55329949,89,53,-79.09433962,-37,Inside
25,52,1626,100,0,195,48.75384615,90,50,-78.4,-38,Inside
25,51,1692,100,0,186,49.84408602,90,51,-77.45098039,-38,Inside
25,51,1588,100,0,200,48.61,90,53,-78.96226415,-38,Inside
25,51,1519,100,0,196,49.05612245,90,54,-78.59259259,-38,Inside
25,52,1527,100,0,195,49.50769231,89,52,-78.53846154,-37,Inside
25,52,1579,100,0,197,49.50253807,89,52,-78.26923077,-38,Inside
25,52,1620,100,0,197,49.50253807,89,52,-78.05769231,-37,Inside
25,51,1541,100,0,197,49.36040609,87,56,-78.76785714,-37,Inside
25,51,1428,100,0,197,49.36040609,87,55,-78.83636364,-38,Inside
25,52,1401,100,0,195,49.28205128,87,47,-77.53191489,-40,Inside
25,51,1396,100,0,192,49.16666667,87,49,-79.3877551,-40,Inside
25,51,1393,100,0,199,48.83417085,87,50,-78.52,-38,Inside
25,52,1401,100,0,199,48.83417085,87,52,-78.96153846,-40,Inside
25,52,1487,100,0,200,49.105,89,50,-78.04,-37,Inside
25,52,1681,100,0,196,49.21938776,89,50,-77.68,-38,Inside
25,52,1699,100,0,199,49.09547739,90,49,-78.73469388,-38,Inside
25,52,1708,100,0,199,49.12060302,90,50,-76.78,-40,Inside
25,51,1635,100,0,200,48.61,89,54,-79.59259259,-37,Inside
25,52,1748,100,0,198,48.60606061,89,51,-78.94117647,-37,Inside
25,53,1768,100,0,195,48.75384615,89,56,-78.80357143,-37,Inside
25,53,1781,100,0,194,49.25257732,89,53,-78.18867925,-37,Inside
25,51,1779,100,0,199,48.70351759,87,55,-79.05454545,-40,Inside
25,52,1612,100,0,200,48.75,87,50,-78.14,-40,Inside
25,53,1505,100,0,200,48.855,87,52,-78.78846154,-38,Inside
25,52,1431,100,0,200,48.775,87,54,-80.2962963,-37,Inside
25,52,1404,100,0,200,48.775,87,47,-79.31914894,-40,Inside
25,53,1391,100,0,192,49.09375,87,47,-78.70212766,-37,Inside
25,52,1383,100,0,194,49.13917526,87,48,-79.58333333,-37,Inside
25,51,1379,100,0,189,49.83068783,87,50,-80.86,-37,Inside
25,52,1376,100,0,195,49.36923077,87,47,-80.93617021,-40,Inside
25,51,1372,100,0,194,49.32989691,87,47,-80.38297872,-37,Inside
25,53,1367,100,0,190,49.22631579,87,46,-80.58695652,-38,Inside
25,52,1360,100,0,193,48.91709845,87,48,-79.95833333,-38,Inside
25,51,1359,100,0,194,49.34020619,87,48,-80.39583333,-37,Inside
25,50,1358,100,0,197,49.11167513,87,45,-80.44444444,-38,Inside
25,52,1355,100,0,191,50.08900524,87,52,-80.15384615,-37,Inside
25,51,1354,100,0,191,49.13612565,89,46,-79.13043478,-38,Inside
25,51,1354,100,0,193,48.98963731,87,47,-80.10638298,-40,Inside
25,52,171,100,0,193,49.00518135,87,50,-79.94,-37,Inside
25,52,171,100,0,185,50.43243243,87,48,-78.97916667,-36,Inside
25,51,170,100,0,195,49.06666667,90,47,-78.59574468,-37,Inside
25,53,169,100,0,195,49.13333333,90,51,-79.33333333,-38,Inside
24,52,167,100,0,199,49.32663317,89,49,-78.89795918,-40,Inside
